source_dataset,source_key,source_label,occurrences,status,disqualifies_normal,reason,action_required
PTB-XL v1.0.3,ptbxl,PVC,1143,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,270492004,1136,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,IRBBB,1118,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,713427006,1094,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,427172004,1089,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,STD_,1009,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,47665007,853,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,1AVB,793,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,IVCD,787,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,698252002,768,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,NST_,767,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,ISCAL,659,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,61721007,652,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,59118001,647,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,365413008,635,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,QWAVE,548,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,CRBBB,541,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,CLBBB,536,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,LOWT,438,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,NT_,423,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,PAC,398,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,111975006,394,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,6374002,382,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,445118002,380,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,428417006,366,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,LPR,340,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,PACE,294,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,INVT,294,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,17338001,294,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,713426002,246,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,233917008,242,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,164909002,239,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,ISCIN,218,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,251223006,215,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,733534002,211,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,106068003,211,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,LVOLT,182,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,DIG,181,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,ISCIL,179,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,LPFB,177,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,164931005,176,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,ISCAS,169,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,164912004,142,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,ISCLA,140,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,29320008,139,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,164937009,136,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,LNGQT,117,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,13640000,116,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,425856008,109,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,251205003,106,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,ANEUR,104,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,EL,96,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,81898007,95,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,BIGU,82,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,WPW,79,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,ILBBB,77,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,27885002,76,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,426995002,75,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,74390002,72,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
