source,property,value
STEMI,columns,Patient_id|ecg_row_record|ecg_med_record|gender|age|Time_Interval|AMI|OMI|CTO|PCI|NSTEMI|STEMI|UA|LM|PLAD|MLAD|DLAD|DB|PLCX|MLCX|DLCX|OM|PRCA|MRCA|DRCA|VF_VT|Paced|Prior_PCI
STEMI,diagnostic_columns,AMI|OMI|CTO|PCI|NSTEMI|STEMI|UA|LM|PLAD|MLAD|DLAD|DB|PLCX|MLCX|DLCX|OM|PRCA|MRCA|DRCA|VF_VT|Paced|Prior_PCI
STEMI,n_diagnostic_columns,22
STEMI,record_id_column,ecg_row_record
STEMI,patient_id_column,Patient_id
STEMI,n_unique_record_ids,17960
STEMI,n_unique_patient_ids,17018
STEMI,label_type,one binary column per finding
STEMI,n_distinct_labels_used,22
STEMI,signal_dir,/home/lindtseyxvii/Codes/cardiosentry/dataset-files/STEMI-dataset/ECG_row_data/row_data
STEMI,signal_dat_files,19955
STEMI,signal_hea_files,19955
STEMI,signal_pairs_present,19955
STEMI,records_with_signal,17960
STEMI,records_missing_signal,0
STEMI,sampling_frequency_hz,500.0:17960
STEMI,num_leads,12:17960
STEMI,num_samples,5000:17960
STEMI,distinct_lead_orderings,1
STEMI,lead_ordering_most_common,I|II|III|aVR|aVL|aVF|V1|V2|V3|V4|V5|V6
STEMI,unlabeled_test_csv_rows,1995
STEMI,median_beat_dir,/home/lindtseyxvii/Codes/cardiosentry/dataset-files/STEMI-dataset/ECG_median_data/med_data
STEMI,extra_metadata,gender|age|Time_Interval|ecg_med_record
STEMI,has_predefined_folds,"train/test split provided, but test.csv has NO diagnostic columns"
